scenario,strategy,metric,n,mean,std,ci95_low,ci95_high
error50,B,p50,5,0.0624000000010706,0.0005477225516385094,0.06171991262769676,0.06308008737444444
error50,B,p95,5,0.19783999999315632,0.013755789685744944,0.1807599311735041,0.21492006881280853
error50,B,p99,5,0.2240220000030237,0.011229533382574866,0.21007869268525312,0.23796530732079427
error50,B,success_p95,5,0.18329000000288925,0.006524607273591029,0.17518863004885285,0.19139136995692566
error50,B,scheduler_lag_p95,5,0.014016666674908371,0.0007080881901938081,0.013137459061591458,0.014895874288225284
error50,B,recovery_seconds,0,,,,
error50,B,retry_count,5,97.4,5.89915248150105,90.07523474380574,104.72476525619427
error50,B,rejected_count,5,0.0,0.0,0.0,0.0
error50,B,circuit_open_seconds,5,0.0,0.0,0.0,0.0
error50,B,requests_during_outage,5,0.0,0.0,0.0,0.0
error50,B,primary_calls,5,217.4,5.89915248150105,210.07523474380574,224.72476525619427
error50,B,estimated_cost_per_request,5,0.0018116666666666667,4.9159604012508814e-05,0.001750626956198381,0.0018727063771349524
error50,C,success_rate,5,0.07833333333333334,0.048088460154178364,0.018623623630833717,0.13804304303583295
